Date,Team,Win,GF,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
May 31@@24257,:de: GER 🏡,83.7,3.2,:fi: FIN,4.3,0.6,12.0,2-0,1,Friendly
May 31@@24257,:us: USA 🏡,32.8,1.1,:sn: SEN,35.4,1.1,31.8,0-0,1,Friendly
May 31@@24257,:br: BRA 🏡,77.4,2.5,:pa: PAN,5.9,0.5,16.7,1-0,1,Friendly
May 31@@24257,:rs: SRB,57.5,1.8,:cv: CPV,16.6,0.8,25.9,1-0,1,Friendly
May 31@@24257,:jp: JPN 🏡,76.3,2.7,:is: ISL,7.2,0.7,16.4,1-0,1,Friendly
May 31@@24257,:ch: SUI 🏡,72.3,2.3,:jo: JOR,8.4,0.6,19.3,1-0,1,Friendly
June 1@@24258,:ca: CAN 🏡,61.1,1.8,:uz: UZB,13.9,0.7,25.1,1-0,1,Friendly
June 1@@24258,:at: AUT 🏡,62.2,1.9,:tn: TUN,13.8,0.8,24.0,1-0,1,Friendly
June 1@@24258,:tr: TUR 🏡,74.1,2.6,:mk: MKD,8.3,0.7,17.6,1-0,1,Friendly
June 1@@24258,:no: NOR 🏡,63.3,2.1,:se: SWE,14.6,0.9,22.1,1-0,1,Friendly
June 1@@24258,:sk: SVK 🏡,76.3,2.5,:mt: MLT,6.4,0.6,17.3,1-0,1,Friendly
June 1@@24258,:bg: BUL 🏡,46.9,1.5,:me: MNE,25.0,1.1,28.1,1-0,1,Friendly
June 2@@24259,:hr: CRO 🏡,42.5,1.5,:be: BEL,29.2,1.2,28.3,0-0,1,Friendly
June 2@@24259,:nz: NZL,31.1,1.3,:ht: HAI,41.2,1.5,27.6,1-1,1,Friendly
June 2@@24259,:ge: GEO 🏡,43.1,1.4,:ro: ROU,27.4,1.1,29.4,0-0,1,Friendly
June 2@@24259,:gb-wls: WAL 🏡,52.0,1.5,:gh: GHA,19.4,0.8,28.7,1-0,1,Friendly
June 2@@24259,:bn: BRU 🏡,39.0,1.5,:tl: TLS,34.0,1.4,27.0,1-1,3,Southeast Asian Championship qualifying
June 3@@24260,:pl: POL 🏡,38.9,1.3,:ng: NGA,30.5,1.1,30.7,0-0,1,Friendly
June 3@@24260,:dk: DEN,56.0,1.8,:cd: COD,18.5,0.9,25.5,1-0,1,Friendly
June 3@@24260,:nl: NED 🏡,69.4,2.3,:dz: ALG,10.5,0.8,20.1,1-0,1,Friendly
June 3@@24260,:lu: LUX 🏡,7.1,0.5,:it: ITA,73.6,2.2,19.4,0-1,1,Friendly
June 3@@24260,:pa: PAN 🏡,68.2,2.2,:do: DOM,10.6,0.7,21.1,1-0,1,Friendly
June 4@@24261,:th: THA 🏡,48.0,1.6,:kw: KUW,24.3,1.1,27.7,1-0,1,Friendly
June 4@@24261,:se: SWE 🏡,41.5,1.4,:gr: GRE,29.3,1.1,29.2,0-0,1,Friendly
June 4@@24261,:ad: AND 🏡,50.4,1.2,:li: LIE,15.8,0.5,33.8,0-0,1,Friendly
June 4@@24261,:fr: FRA 🏡,73.9,2.3,:ci: CIV,7.3,0.6,18.8,1-0,1,Friendly
June 4@@24261,:es: ESP 🏡,90.6,3.7,:iq: IRQ,1.5,0.3,7.9,2-0,1,Friendly
June 4@@24261,:lb: LBN,54.9,1.7,:ye: YEM,17.9,0.8,27.2,1-0,5,AFC Asian Cup qualifying
June 4@@24261,:cz: CZE,54.3,1.7,:gt: GUA,19.4,0.9,26.2,1-0,1,Friendly
June 4@@24261,:si: SVN 🏡,76.1,2.5,:cy: CYP,6.9,0.6,17.1,1-0,1,Friendly
June 4@@24261,:mx: MEX 🏡,60.9,1.8,:rs: SRB,14.0,0.7,25.1,1-0,1,Friendly
June 4@@24261,:uy: URU,53.6,1.6,:kr: KOR,18.3,0.8,28.1,1-0,1,Friendly
June 5@@24262,:ru: RUS 🏡,70.4,2.2,:bf: BFA,9.3,0.7,20.3,1-0,1,Friendly
June 5@@24262,:sk: SVK 🏡,63.9,2.0,:me: MNE,13.2,0.8,22.9,1-0,1,Friendly
June 5@@24262,:sm: SMR 🏡,37.9,1.0,:bd: BAN,25.6,0.7,36.5,0-0,1,Friendly
June 5@@24262,:pe: PER,48.8,1.6,:ht: HAI,23.4,1.0,27.8,1-0,1,Friendly
June 5@@24262,:id: IDN 🏡,36.7,1.2,:om: OMA,32.7,1.1,30.6,0-0,1,Friendly
June 5@@24262,:md: MDA 🏡,20.7,0.9,:bg: BUL,51.0,1.6,28.3,0-1,1,Friendly
June 5@@24262,:hu: HUN 🏡,61.0,2.0,:fi: FIN,15.5,0.9,23.5,1-0,1,Friendly
June 5@@24262,:ca: CAN 🏡,49.8,1.4,:ie: IRL,19.6,0.8,30.6,0-0,1,Friendly
June 5@@24262,:by: BLR 🏡,48.0,1.5,:sy: SYR,23.3,1.0,28.8,1-0,1,Friendly
June 5@@24262,:az: AZE,39.2,1.3,:mt: MLT,30.5,1.1,30.3,0-0,1,Friendly
June 5@@24262,:ao: ANG,56.4,1.5,:bw: BOT,14.6,0.6,29.0,1-0,1,Friendly
June 5@@24262,:ge: GEO 🏡,68.9,2.1,:bh: BHR,9.8,0.7,21.3,1-0,1,Friendly
June 6@@24263,:br: BRA,72.6,2.3,:eg: EGY,8.4,0.6,19.1,1-0,1,Friendly
June 6@@24263,:pt: POR 🏡,71.9,2.3,:cl: CHI,8.6,0.6,19.5,1-0,1,Friendly
June 6@@24263,:pl: POL 🏡,48.5,1.6,:xk: KOS,24.1,1.1,27.4,1-0,1,Friendly
June 6@@24263,:us: USA 🏡,23.8,1.2,:de: GER,51.7,1.9,24.5,0-1,1,Friendly
June 6@@24263,:gb-eng: ENG,84.1,3.0,:nz: NZL,3.5,0.5,12.4,2-0,1,Friendly
June 6@@24263,:lt: LTU 🏡,32.7,1.0,:lv: LVA,34.3,1.1,32.9,0-0,4,Baltic Cup
June 6@@24263,:pa: PAN,44.2,1.6,:ba: BIH,28.2,1.2,27.6,1-0,1,Friendly
